file,page,school_group,group_code,requirement,plan,match
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60001,1009专业组:500(选考化学)60001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50005,1009专业组:700(选考思想政治)50005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6001,1010专业组:500(选考化学)6001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,700,选考思想政治,3005,1010专业组:700(选考思想政治)3005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31001,1011专业组:500(选考化学)31001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24005,1011专业组:700(选考思想政治)24005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1012,500,选考化学,4001,1012专业组:500(选考化学)4001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1013,500,选考化学,28001,1013专业组:500(选考化学)28001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1013,700,选考思想政治,24005,1013专业组:700(选考思想政治)24005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1014,500,选考化学,2001,1014专业组:500(选考化学)2001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1014,700,选考思想政治,2003,1014专业组:700(选考思想政治)2003
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1015,500,选考化学,31001,1015专业组:500(选考化学)31001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1015,700,选考思想政治,27005,1015专业组:700(选考思想政治)27005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1016,500,选考化学,4001,1016专业组:500(选考化学)4001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1016,700,选考思想政治,1004,1016专业组:700(选考思想政治)1004
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1017,700,选考思想政治,1001,1017专业组:700(选考思想政治)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1018,500,选考化学,15001,1018专业组:500(选考化学)15001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1018,700,选考思想政治,11005,1018专业组:700(选考思想政治)11005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1019,500,选考化学,1001,1019专业组:500(选考化学)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1020,500,选考化学,37001,1020专业组:500(选考化学)37001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1020,700,选考思想政治,29005,1020专业组:700(选考思想政治)29005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1021,500,选考化学,5001,1021专业组:500(选考化学)5001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1022,500,选考化学,29001,1022专业组:500(选考化学)29001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1022,700,选考思想政治,24005,1022专业组:700(选考思想政治)24005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1023,500,选考化学,5001,1023专业组:500(选考化学)5001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1024,999,不限选考科目,61001,1024专业组:999(不限选考科目)61001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1025,999,不限选考科目,2001,1025专业组:999(不限选考科目)2001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1026,500,选考化学,25001,1026专业组:500(选考化学)25001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1026,700,选考思想政治,20005,1026专业组:700(选考思想政治)20005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1027,500,选考化学,2001,1027专业组:500(选考化学)2001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1027,700,选考思想政治,204,1027专业组:700(选考思想政治)204
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,1028,500,选考化学,22001,1028专业组:500(选考化学)22001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,1028,700,选考思想政治,17005,1028专业组:700(选考思想政治)17005
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,1029,500,选考化学,1001,1029专业组:500(选考化学)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,1029,700,选考思想政治,1002,1029专业组:700(选考思想政治)1002
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3041,500,选考化学,5001,3041专业组:500(选考化学)5001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3041,700,选考思想政治,1003,3041专业组:700(选考思想政治)1003
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3042,500,选考化学,1001,3042专业组:500(选考化学)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3496,700,选考思想政治,4001,3496专业组:700(选考思想政治)4001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3515,700,选考思想政治,1001,3515专业组:700(选考思想政治)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,3595,700,选考思想政治,11420,3595专业组:700(选考思想政治)11420
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,6,3622,500,选考化学,6001,3622专业组:500(选考化学)6001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,6,3622,700,选考思想政治,6003,3622专业组:700(选考思想政治)6003
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,6,3623,500,选考化学,1001,3623专业组:500(选考化学)1001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,6,3671,500,选考化学,15001,3671专业组:500(选考化学)15001
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,7,3671,700,选考思想政治,6008,3671专业组:700(选考思想政治)6008
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,7,3672,500,选考化学,2001,3672专业组:500(选考化学)2001
