file,page,school_group,group_code,requirement,plan,line,clean
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60,1009 专业组:500 (选考化学) 60,1009专业组:500(选考化学)60
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,1009 专业组:700 (选考思想政治) 50,1009专业组:700(选考思想政治)50
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6,1010 专业组:500 (选考化学) 6,1010专业组:500(选考化学)6
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,700,选考思想政治,3,1010 专业组:700 (选考思想政治) 3,1010专业组:700(选考思想政治)3
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31,1011 专业组:500 (选考化学) 31,1011专业组:500(选考化学)31
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,1011 专业组:700 (选考思想政治) 24,1011专业组:700(选考思想政治)24
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1012,500,选考化学,4,1012 专业组:500 (选考化学) 4,1012专业组:500(选考化学)4
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1013,500,选考化学,28,1013 专业组:500 (选考化学) 28,1013专业组:500(选考化学)28
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1013,700,选考思想政治,24,1013 专业组:700 (选考思想政治) 24,1013专业组:700(选考思想政治)24
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1014,500,选考化学,2,1014 专业组:500 (选考化学) 2,1014专业组:500(选考化学)2
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1014,700,选考思想政治,2,1014 专业组:700 (选考思想政治) 2,1014专业组:700(选考思想政治)2
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1015,500,选考化学,31,1015 专业组:500 (选考化学) 31,1015专业组:500(选考化学)31
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1015,700,选考思想政治,27,1015 专业组:700 (选考思想政治) 27,1015专业组:700(选考思想政治)27
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1016,500,选考化学,4,1016 专业组:500 (选考化学) 4,1016专业组:500(选考化学)4
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1016,700,选考思想政治,1,1016 专业组:700 (选考思想政治) 1,1016专业组:700(选考思想政治)1
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1017,700,选考思想政治,1,1017 专业组:700 (选考思想政治) 1,1017专业组:700(选考思想政治)1
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1018,500,选考化学,15,1018 专业组:500 (选考化学) 15,1018专业组:500(选考化学)15
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1018,700,选考思想政治,11,1018 专业组:700 (选考思想政治) 11,1018专业组:700(选考思想政治)11
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1019,500,选考化学,1,1019 专业组:500 (选考化学) 1,1019专业组:500(选考化学)1
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1020,500,选考化学,37,1020 专业组:500 (选考化学) 37,1020专业组:500(选考化学)37
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1020,700,选考思想政治,29,1020 专业组:700 (选考思想政治) 29,1020专业组:700(选考思想政治)29
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,3,1021,500,选考化学,5,1021 专业组:500 (选考化学) 5,1021专业组:500(选考化学)5
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1022,500,选考化学,29,1022 专业组:500 (选考化学) 29,1022专业组:500(选考化学)29
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1022,700,选考思想政治,24,1022 专业组:700 (选考思想政治) 24,1022专业组:700(选考思想政治)24
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1023,500,选考化学,5,1023 专业组:500 (选考化学) 5,1023专业组:500(选考化学)5
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1024,999,不限选考科目,61,1024 专业组:999 (不限选考科目) 61,1024专业组:999(不限选考科目)61
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1025,999,不限选考科目,2,1025 专业组:999 (不限选考科目) 2,1025专业组:999(不限选考科目)2
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1026,500,选考化学,25,1026 专业组:500 (选考化学) 25,1026专业组:500(选考化学)25
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1026,700,选考思想政治,20,1026 专业组:700 (选考思想政治) 20,1026专业组:700(选考思想政治)20
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1027,500,选考化学,2,1027 专业组:500 (选考化学) 2,1027专业组:500(选考化学)2
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,4,1027,700,选考思想政治,2,1027 专业组:700 (选考思想政治) 2,1027专业组:700(选考思想政治)2
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,5,1028,500,选考化学,22,1028 专业组:500 (选考化学) 22,1028专业组:500(选考化学)22
