file,page,school_group,group_code,requirement,group_plan,major_code,raw,clean
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60,001,"001 刑事科学技术 四 23 5200 公安类专业面向福州生源招生,只招男生","001刑事科学技术四235200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60,002,"002 交通管理工程 四 19 5200 公安类专业面向福州生源招生,只招男生","002交通管理工程四195200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60,003,"003 网络安全与执法 四 10 5200 公安类专业面向福州生源招生,只招男生","003网络安全与执法四105200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,500,选考化学,60,004,"004 食品药品环境犯罪侦查技术 四 8 5200 公安类专业面向福州生源招生,只招男生","004食品药品环境犯罪侦查技术四85200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,005,"005 治安学 四 13 5200 公安类专业面向福州生源招生,只招男生","005治安学四135200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,006,"006 侦查学 四 14 5200 公安类专业面向福州生源招生,只招男生","006侦查学四145200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,007,"007 禁毒学 四 5 5200 公安类专业面向福州生源招生,只招男生","007禁毒学四55200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,008,"008 经济犯罪侦查 四 6 5200 公安类专业面向福州生源招生,只招男生","008经济犯罪侦查四65200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,009,"009 国内安全保卫 四 6 5200 公安类专业面向福州生源招生,只招男生","009国内安全保卫四65200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1009,700,选考思想政治,50,010,"010 警务指挥与战术 四 6 5200 公安类专业面向福州生源招生,只招男生","010警务指挥与战术四65200公安类专业面向福州生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6,001,"001 刑事科学技术 四 2 5200 公安类专业面向福州生源招生,只招女生","001刑事科学技术四25200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6,002,"002 交通管理工程 四 2 5200 公安类专业面向福州生源招生,只招女生","002交通管理工程四25200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6,003,"003 网络安全与执法 四 1 5200 公安类专业面向福州生源招生,只招女生","003网络安全与执法四15200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,500,选考化学,6,004,"004 食品药品环境犯罪侦查技术 四 1 5200 公安类专业面向福州生源招生,只招女生","004食品药品环境犯罪侦查技术四15200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,700,选考思想政治,3,005,"005 治安学 四 1 5200 公安类专业面向福州生源招生,只招女生","005治安学四15200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,700,选考思想政治,3,006,"006 禁毒学 四 1 5200 公安类专业面向福州生源招生,只招女生","006禁毒学四15200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1010,700,选考思想政治,3,007,"007 经济犯罪侦查 四 1 5200 公安类专业面向福州生源招生,只招女生","007经济犯罪侦查四15200公安类专业面向福州生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31,001,"001 刑事科学技术 四 12 5200 公安类专业面向龙岩生源招生,只招男生","001刑事科学技术四125200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31,002,"002 交通管理工程 四 10 5200 公安类专业面向龙岩生源招生,只招男生","002交通管理工程四105200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31,003,"003 网络安全与执法 四 5 5200 公安类专业面向龙岩生源招生,只招男生","003网络安全与执法四55200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,1,1011,500,选考化学,31,004,"004 食品药品环境犯罪侦查技术 四 4 5200 公安类专业面向龙岩生源招生,只招男生","004食品药品环境犯罪侦查技术四45200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,005,"005 治安学 四 7 5200 公安类专业面向龙岩生源招生,只招男生","005治安学四75200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,006,"006 侦查学 四 6 5200 公安类专业面向龙岩生源招生,只招男生","006侦查学四65200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,007,"007 禁毒学 四 3 5200 公安类专业面向龙岩生源招生,只招男生","007禁毒学四35200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,008,"008 经济犯罪侦查 四 3 5200 公安类专业面向龙岩生源招生,只招男生","008经济犯罪侦查四35200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,009,"009 国内安全保卫 四 3 5200 公安类专业面向龙岩生源招生,只招男生","009国内安全保卫四35200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1011,700,选考思想政治,24,010,"010 警务指挥与战术 四 2 5200 公安类专业面向龙岩生源招生,只招男生","010警务指挥与战术四25200公安类专业面向龙岩生源招生,只招男生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1012,500,选考化学,4,001,"001 刑事科学技术 四 2 5200 公安类专业面向龙岩生源招生,只招女生","001刑事科学技术四25200公安类专业面向龙岩生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1012,500,选考化学,4,002,"002 交通管理工程 四 1 5200 公安类专业面向龙岩生源招生,只招女生","002交通管理工程四15200公安类专业面向龙岩生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1012,500,选考化学,4,003,"003 网络安全与执法 四 1 5200 公安类专业面向龙岩生源招生,只招女生","003网络安全与执法四15200公安类专业面向龙岩生源招生,只招女生"
1.2025年福建省普通高校招生计划物理科目组-本科提前批.pdf,2,1013,500,选考化学,28,001,"001 刑事科学技术 四 11 5200 公安类专业面向南平生源招生,只招男生","001刑事科学技术四115200公安类专业面向南平生源招生,只招男生"
